Time,Ticker,Mean,Std
50,SMH,4.209676131427163,12.290272101031425
55,SMH,4.671860241885209,13.128546045110053
60,SMH,5.0995288134752315,13.863128983569743
65,SMH,5.5265187394066295,14.477838697551368
70,SMH,5.912830864441988,15.034715661287366
75,SMH,6.264329698146907,15.548284420486501
80,SMH,6.588441382543744,15.987552551982617
85,SMH,6.960771205511835,16.436047829504304
90,SMH,7.379012262347163,17.039260528384204
95,SMH,7.79971436037157,17.72361344713769
100,SMH,8.211960456111678,18.395430705533457
105,SMH,8.55270446567259,19.018234480343665
110,SMH,8.848755801262623,19.428667220074853
115,SMH,9.164652973198733,19.79320000634423
120,SMH,9.50824838004697,20.231798972800387
5,KBE,0.22101955168319293,4.118425532239046
10,KBE,0.43941042065282293,5.9417604415538
15,KBE,0.6299304915592153,7.279447661852743
20,KBE,0.8324203715906487,8.368723609935511
25,KBE,1.006842441780905,9.357152807832536
30,KBE,1.2192209443257098,10.237783168669264
35,KBE,1.4341406412298912,11.076378348919603
40,KBE,1.6152017002963692,11.996973489167326
45,KBE,1.7983270894945897,12.904550978382408
50,KBE,1.9632368773392075,13.760823645122343
55,KBE,2.162186830055381,14.502705012294498
60,KBE,2.3352594912194835,15.26303326037596
65,KBE,2.4517486940095825,15.96046047144613
70,KBE,2.557852943241372,16.746764554268434
75,KBE,2.6755897344063317,17.685535704847236
80,KBE,2.8079108238108796,18.494991139375447
85,KBE,2.939706536315439,19.221228908911016
90,KBE,3.064853650043118,19.94399291093336
95,KBE,3.148303554490501,20.576250501370108
100,KBE,3.1560596035251125,21.166572181250377
105,KBE,3.065155771286966,21.66134706206985
110,KBE,2.981717440426531,22.1901811661239
115,KBE,2.923117125271194,22.7700801001748
120,KBE,2.8930020823313565,23.307414264778668
5,XTL,0.007483984379379256,3.228736551094685
10,XTL,0.012379934433663758,4.455721258852029
15,XTL,0.00796950972587154,5.39343861224926
20,XTL,0.031116088275373655,6.143169203300387
25,XTL,0.03515366805696005,6.83240520368318
30,XTL,0.06420494641994924,7.356629791070548
35,XTL,0.09577203665003019,7.81679956414984
40,XTL,0.10314254048146228,8.324750454323574
45,XTL,0.11426774194635692,8.767583552540403
50,XTL,0.14790093528555975,9.278464363773654
55,XTL,0.23067606545952613,9.78160815775203
60,XTL,0.2822696409001227,10.30204116241143
65,XTL,0.33544909949550905,10.78159567306756
70,XTL,0.3531130287091974,11.297255183404625
75,XTL,0.35392132236414997,11.777947051555145
80,XTL,0.3413531866059536,12.144761047871379
85,XTL,0.2940555279650254,12.485305644005088
90,XTL,0.2380842550125755,12.857823388952497
95,XTL,0.1797671775723898,13.143052949354804
100,XTL,0.11342073969460448,13.343080712777027
105,XTL,0.043111227868511744,13.595517610513944
5,^GSPC,0.009184776924945385,2.659683474056009
10,^GSPC,0.008939635588751145,3.645605824480587
5,XLE,0.45508545971237246,4.294654503877827
10,XLE,0.9156363854891157,5.925016615990849
15,XLE,1.396012494568568,7.138651186652999
20,XLE,1.9446129949827298,8.396219499625234
25,XLE,2.459781427325434,9.315376544824938
30,XLE,3.0148604597652024,9.885484747342414
35,XLE,3.6032506934604833,10.20749702493163
40,XLE,4.1550280326417734,10.622311300969976
45,XLE,4.671735459598309,11.06247701629646
50,XLE,5.13695555828901,11.373229029664047
55,XLE,5.649109015711872,11.906791451480604
60,XLE,6.156239835305638,12.552372677488421
65,XLE,6.609107415363875,13.266755550433254
70,XLE,7.066333439031328,14.180720300788012
75,XLE,7.5564869446177525,15.024778262159012
80,XLE,7.991281297233493,15.45470899264785
85,XLE,8.273030382045848,15.650511369185246
90,XLE,8.527823138428241,15.697353227530883
95,XLE,8.787209561361024,15.888510653497217
100,XLE,8.934199987864204,15.745276691970842
105,XLE,9.090963408733812,15.802688104440467
110,XLE,9.25071158432201,16.00196143393453
115,XLE,9.29339482886422,15.823430601294355
120,XLE,9.480394011450846,15.681498668213473
5,XLI,0.03292873320776096,2.6764539011135944
10,XLI,0.0577473359010668,3.7487157687074824
15,XLI,0.06549408537498001,4.614837986225607
20,XLI,0.09834790106821717,5.422488446950106
25,XLI,0.07475136636328167,6.165700725449403
30,XLI,0.048194036544748256,6.658428016353721
35,XLI,0.06390253871978178,6.948546920341912
40,XLI,0.04335980988756734,7.203467887933046
60,XLI,0.020928602229220418,7.3207990720271425
65,XLI,0.0907632994923091,7.3773985168697305
70,XLI,0.16834850771513604,7.544372730206732
75,XLI,0.2625954412640607,7.810263515016925
80,XLI,0.3899628897784805,7.95834603148673
85,XLI,0.5114894625466766,8.13202877299638
90,XLI,0.6576616803831979,8.32922385230409
95,XLI,0.7552307892504981,8.489989069592527
100,XLI,0.8307842727449641,8.5783082133232
105,XLI,0.9079564262850129,8.7416966738825
110,XLI,1.0216804231490677,8.989272651982994
115,XLI,1.0951598396242768,9.199307359846179
120,XLI,1.2044879527176944,9.397894506312703
5,GDX,0.05043537842983692,4.976278623959265
30,GDX,0.031486987773477214,11.966793924790448
35,GDX,0.07974913180750827,13.037393793229384
40,GDX,0.04364800662208317,13.942789913236258
50,GDX,0.01156095664158069,15.604004005296447
55,GDX,0.042874558602878934,16.30551983544857
60,GDX,0.06053566075337392,16.766680299630917
65,GDX,0.07215949125960675,17.183335635280777
70,GDX,0.04487708388556215,17.65902569080027
5,XLK,0.16431093075187497,3.585992914038145
10,XLK,0.317907552101884,4.977814045138703
15,XLK,0.4363331823444448,6.123086975478822
20,XLK,0.5208545118125063,6.920558285849292
25,XLK,0.5355201647021633,7.640857603122592
30,XLK,0.5388619513185005,8.183094438489922
35,XLK,0.5845329188419924,8.695264457951303
40,XLK,0.5911504215843996,9.189628028599062
45,XLK,0.5860342962382034,9.531194046842751
50,XLK,0.6029601849947097,9.881436511952078
55,XLK,0.7234813473970918,10.343867782512284
60,XLK,0.8925943777057542,10.89914242070831
65,XLK,1.0388540639359816,11.353554943421752
70,XLK,1.166206907170099,11.784912282214325
75,XLK,1.298734141953624,12.20614133521769
80,XLK,1.478573069470178,12.690704343570463
85,XLK,1.7256766432217987,13.246501157844
90,XLK,2.0557361779088152,13.892483412114197
95,XLK,2.331189171609761,14.569651800943
100,XLK,2.57067228447547,15.243105109375852
105,XLK,2.783688866849101,15.934789813952289
110,XLK,3.05347996328843,16.538406760650762
115,XLK,3.3237743791700263,17.064290659742102
120,XLK,3.6696172639160363,17.61955384715466
5,XLV,0.001168639069500408,2.190021741094094
5,XOP,0.38236024357383225,5.506851033957736
10,XOP,0.7805062690417027,7.615853560174451
15,XOP,1.2060732232859408,9.042720462433376
20,XOP,1.7229374696293809,10.260431526697142
25,XOP,2.1980925847387374,11.069264762780413
